,Week,currentStock,currentOrders,lastOrderQuantity,currentPipeline,action,reward,cumulativeReward,done
0,0,12.0,4.0,0.0,4.0,3,-6.0,6.0,0
1,1,12.0,4.0,4.0,4.0,25,-6.0,12.0,0
2,2,12.0,4.0,4.0,4.0,26,-6.0,18.0,0
3,3,12.0,4.0,4.0,4.0,28,-6.0,24.0,0
4,4,12.0,4.0,4.0,4.0,26,-6.0,30.0,0
5,5,12.0,0.0,4.0,4.0,1,-6.0,36.0,0
6,6,16.0,0.0,0.0,4.0,17,-8.0,44.0,0
7,7,20.0,0.0,0.0,0.0,17,-10.0,54.0,0
8,8,20.0,4.0,0.0,0.0,18,-10.0,64.0,0
9,9,16.0,8.0,0.0,0.0,9,-8.0,72.0,0
10,10,8.0,12.0,0.0,0.0,6,-4.0,76.0,0
11,11,-4.0,12.0,4.0,0.0,8,-4.0,80.0,0
12,12,-16.0,8.0,14.0,4.0,5,-16.0,96.0,0
13,13,-20.0,4.0,20.0,14.0,22,-20.0,116.0,0
14,14,-10.0,8.0,22.0,20.0,16,-10.0,126.0,0
15,15,2.0,8.0,17.0,2.0,19,-1.0,127.0,0
16,16,-4.0,0.0,10.0,0.0,9,-4.0,131.0,0
17,17,-4.0,0.0,14.0,4.0,29,-4.0,135.0,0
18,18,0.0,0.0,14.0,0.0,5,0.0,135.0,0
19,19,0.0,0.0,12.0,6.0,0,0.0,135.0,0
20,20,6.0,0.0,12.0,28.0,25,-3.0,138.0,0
21,21,34.0,0.0,6.0,52.5,1,-17.0,155.0,0
22,22,86.5,0.0,0.0,14.5,23,-43.25,198.25,0
23,23,101.0,0.0,0.0,0.0,5,-50.5,248.75,0
24,24,101.0,4.0,0.0,0.0,28,-50.5,299.25,0
25,25,97.0,8.0,0.0,0.0,21,-48.5,347.75,0
26,26,89.0,12.0,0.0,0.0,0,-44.5,392.25,0
27,27,77.0,12.0,0.0,0.0,12,-38.5,430.75,0
28,28,65.0,8.0,0.0,0.0,18,-32.5,463.25,0
29,29,57.0,0.0,0.0,0.0,13,-28.5,491.75,0
30,30,57.0,0.0,0.0,0.0,9,-28.5,520.25,0
31,31,57.0,0.0,0.0,0.0,3,-28.5,548.75,0
32,32,57.0,0.0,0.0,0.0,19,-28.5,577.25,0
33,33,57.0,0.0,0.0,0.0,6,-28.5,605.75,0
34,34,57.0,0.0,0.0,0.0,6,-28.5,634.25,0
35,35,57.0,4.0,0.0,0.0,0,-28.5,662.75,0
36,36,53.0,8.0,0.0,0.0,25,-26.5,689.25,0
37,37,45.0,12.0,0.0,0.0,15,-22.5,711.75,0
38,38,33.0,12.0,0.0,0.0,28,-16.5,728.25,0
39,39,21.0,8.0,0.0,0.0,16,-10.5,738.75,0
40,40,13.0,0.0,0.0,0.0,3,-6.5,745.25,0
41,41,13.0,0.0,0.0,0.0,24,-6.5,751.75,0
42,42,13.0,0.0,0.0,0.0,19,-6.5,758.25,0
43,43,13.0,0.0,0.0,0.0,29,-6.5,764.75,0
44,44,13.0,0.0,0.0,0.0,10,-6.5,771.25,0
45,45,13.0,0.0,0.0,0.0,13,-6.5,777.75,0
46,46,13.0,4.0,0.0,0.0,24,-6.5,784.25,0
47,47,9.0,8.0,0.0,0.0,16,-4.5,788.75,0
48,48,1.0,12.0,3.0,0.0,16,-0.5,789.25,0
49,49,-11.0,12.0,11.0,3.0,8,-11.0,800.25,0
50,50,-20.0,8.0,17.5,11.0,28,-20.0,820.25,0
51,51,-17.0,11.0,22.0,17.5,3,-17.0,837.25,1
